INVS_YR,INVS_DSRT,INVS_AREA_NM,DNF_SRC_NM,QTMT_NM,IEM_NM,IEM_CNT,METER_PER_IEM_CNT,ADM_ZN_NM,QTMT_CD,IEM_CD,INVS_YMD,CST_NM,STR_LA,STR_LO,END_LA,END_LO
2008,3차,부산 해양대,국내기인,플라스틱류,낚시줄,1,0.01,부산,PL,PL_1_30,20080531,남해안,35.075482,129.091375,35.074851,129.090912
2008,3차,부산 해양대,국내기인,플라스틱류,"가짜미끼, 형광찌",1,0.01,부산,PL,PL_1_31,20080531,남해안,35.075482,129.091375,35.074851,129.090912
2008,3차,부산 해양대,국내기인,금속,"납 낚시추, 낚싯바늘",0,0.0,부산,ME,ME_1_06,20080531,남해안,35.075482,129.091375,35.074851,129.090912
2008,3차,부산 해양대,국내기인,금속,스프링통발(그물포함),0,0.0,부산,ME,ME_1_07,20080531,남해안,35.075482,129.091375,35.074851,129.090912
2008,3차,부산 해양대,국내기인,고무,풍선,1,0.01,부산,RB,RB_1_02,20080531,남해안,35.075482,129.091375,35.074851,129.090912
2008,3차,사천 아두도,국내기인,플라스틱류,"비닐봉투, 비닐쇼핑백 등",15,0.15,경남,PL,PL_1_01,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,플라스틱류,6개들이 포장고리,0,0.0,경남,PL,PL_1_07,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,플라스틱류,장어/문어 통발,3,0.03,경남,PL,PL_1_15,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,플라스틱류,어망(2.5~50cm),0,0.0,경남,PL,PL_1_16,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,플라스틱류,어망 (50cm 이상),1,0.01,경남,PL,PL_1_17,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,플라스틱류,밧줄/로프 (2.5~50cm),32,0.32,경남,PL,PL_1_20,20080530,남해안,34.901437,128.058667,34.901096,128.059412
